adj	nn	attribute	semclass	status	context
karg	Insel	climate	location	collocation	Noch heute dienen der Fischfang und die eher dürftige Landwirtschaft auf der kargen Insel als Haupteinnahmequellen .
rau	Insel	climate	location	collocation	Aggressive , mittelschnelle Musik , und ein rauer Humor kennzeichneten ihre Musik .
sicher	Instinkt	certainty	feeling	collocation	In dieser Auseinandersetzung schlug sich Bernotat mit sicherem Instinkt auf die Seite von Sprenger als dem Gewinner dieses Kräftemessens .
mächtig	Institution	power	group	free	Vergessen Sie bitte nicht das Verhältnis zu Kirche : ein " echter " faschistischer Staat setzt den Staat absolut und duldet keine anderen mächtigen Institutionen neben sich .
historisch	Instrument	time	artifact	collocation	Viele seiner erhaltenen Instrumente dienen bis heute als Vorlage zum Nachbau historischer Instrumente des Barock .
karg	Instrumentierung	quantity	artifact	free	Sein Auftreten war bescheiden und zurückhaltend , sein einfacher Vortrag und die karge Instrumentierung schufen beim Publikum ein Gefühl der Intimität und Authentizität .
scharf	Intellekt	precision	cognition	collocation	Dazu sind häufig entweder die Beine ( Gomphocerinae ) oder eine Flügelader ( Oedipodinae ) mit Zähnchen und die Gegenseite mit einer scharfen Kante bestückt .
stark	Interesse	intensity	attribute	collocation	Während seiner Zeit an der Universität entwickelte sich auch ein starkes Interesse an der Pflanzenwelt des tropischen Amerikas .
mächtig	Interessengruppe	power	group	free	Mächtige Interessengruppen aus Wirtschaft und Politik kamen zur Ansicht , dass die Bildung eines  formellen  Imperiums nötig sei , um den Bedeutungsverlust in den Weltmärkten aufzuhalten .
karg	Interieur	description	artifact	collocation	Worcester hielt die äußere Gestaltung des Hauses für einen starken Widerspruch zum relativ kargen Interieur .
frei	Internet	social	communication	collocation	Allein mit unserer Kreativität und unseren Idealen müssen wir antreten , unsere Rechte und das freie Internet zu schützen .
offen	Internet	social	communication	collocation	Wir glauben an ein freies und offenes Internet , wo Informationen ohne Hindernisse geteilt werden können .
tot	Inventar	state	quantity	collocation	Im gleichen Jahr verkauft er das übrige Dorf  mit allem lebenden und toten Inventar  an das Kloster Zarrentin .
teuer	Investition	cost	possession	free	Durch den Wegfall der Reinigung und Beleuchtung kann die Stadt 18.000 Euro im Jahr sparen , die 750.000 Euro teure Investition war im September 2008 abgeschlossen .
sicher	Investment	security	possession	free	Im Zuge der Finanzkrise ab 2007 sind sie in die Kritik geraten , da mittels ihres Einsatzes in hohem Maße risikobehaftete Kreditforderungen als vermeintlich sichere Investments auf dem Kapitalmarkt platziert wurden .
tot	Iraker	state	person	free	Irak meldete sogar 70.000 tote Iraner , und Iran meldete 30.000 tote Iraker . 
bitter	Ironie	emotion	communication	collocation	Die Gespräche zwischen Maja und Rubek hingegen sind von prosaischer Langeweile , Gleichgültigkeit und bitterer Ironie gekennzeichnet .
mild	Ironie	intensity	communication	collocation	( 1 ) Tafelspitz , Kalbsschulterspitz und Knochen in wenig Olivenöl bei milder Hitze rundum anbraten bis sie etwas Farbe angenommen haben .
sanft	Ironie	intensity	communication	collocation	TV Spielfilm urteilt mit einem nach oben gestreckten Daumen ( beste Filmbewertung ) : " Mit viel Liebe zum Detail und sanfter Ironie bemüht sich die Story um Realitätsnähe .
grob	Irreführung	intensity	event	collocation	Das sei , so das Gericht , eine grobe Irreführung der Käufer auf dem Wochenmarkt .
blank	Irrsinn	intensity	cognition	collocation	Sowohl aus einer rationalen als auch aus einer menschlichen Perspektive sind diese Maßnahmen der blanke Irrsinn .
grob	Irrtum	intensity	cognition	collocation	Zu einer Zeit , in der gefährliche Kräfte versuchen , politische Konflikte rassistisch zu definieren , halten wir die Entscheidung ( des Verlags ) für einen groben Irrtum . 
dick	Jacke	texture	artifact	collocation	Es war eine Zeit , in der Leute , die im Sommer eine dicke Jacke trugen , als etwas spleenig angesehen wurden , aber nicht automatisch verdächtig waren .
dunkel	Jacke	brightness	artifact	free	Von einem Fenster aus sieht Natalie eine Gestalt in der dunklen Jacke im Schwimmbad , aber darin steckt ein harmloses Mädchen .
hell	Jacke	brightness	artifact	free	Beide sagten später unabhängig voneinander aus , sie hätten eine mit einer hellen Jacke bekleidete Person um den Wagen herumlaufen sehen , die sie für verletzt gehalten hätten .
schwarz	Jacke	color	artifact	free	Karlchen Rattenkopf ( englischer Name : Charlie Rat ) ist eine kleine , aufrecht laufende Ratte in schwarzer Jacke und mit einer langen Nase .
dunkel	Jackett	brightness	artifact	free	Beachten Sie , dass ein Smoking ( mit dunklem Jackett ) niemals tagsüber , sondern erst am Abend getragen wird .
wild	Jäger	charakter	person	collocation	Dieses Motiv des wilden Jägers wird bei der Erklärung der als " Hundsköpfe " bezeichneten Felsformation auf der Juhöhe ( s .
spät	Jahr	time	time	collocation	In späteren Jahren zog er sich in einen abgelegenen Teil des Klosters in die Einsamkeit zurück .
rund	Jahrestag	completeness	time	collocation	Regelmäßig zu den runden Jahrestagen der Befreiung Brests durch die Rote Armee 1944 werden Ausstellungen zu diesem Anlass gezeigt .
rund	Jahreszahl	completeness	quantity	collocation	Im Sinne einer Vereinheitlichung der unterschiedlichen Betrachtungsebenen in der Geschichtswissenschaft ist heute zur Datierung des Neuzeitbeginns die runde Jahreszahl 1500 gängig geworden .
dunkel	Jahreszeit	brightness	time	free	Die Überfälle werden im Frühjahr und Herbst professionell vorbereitet und ausschließlich während der dunklen Jahreszeit kurz vor Geschäftsschluss begangen .
knapp	Jahrzehnt	time	time	collocation	Mit der 1963 erfolgten Ligareform und damit verbundenen Auflösung der II. DDR-Liga stieg Chemie Schwarza für ein knappes Jahrzehnt wieder in die Bezirksliga Gera ab .
dunkel	Jeans	brightness	artifact	free	Seine Kleidung wechselt von einem bunten T-Shirt , blauer Jeans , Turnschuhen und Cappy zu einer schwarzen Lederjacke , dunkler Jeans und einer Sonnenbrille .
hell	Jeans	brightness	artifact	free	Auf dem Cover des Albums springt Bosse in einem roten Jackett und heller Jeans in die Luft .
schwarz	Jeans	color	artifact	free	Er trägt ein weißes Hemd , schwarze Krawatte und schwarze Jeans , er ist Brillenträger und äußerst unattraktiv .
hart	Job	description	event	collocation	Und wenn ich an den harten Job meiner Mutter denke , bricht es mir heute noch das Herz !
leicht	Job	description	event	collocation	Was Marguerite zunächst für einen leichten Job hält , nimmt jedoch schon bald gefährliche Ausmaße an , als ein Unbekannter sie mit einem Schwert bedroht .
sicher	Job	security	event	free	Gewisse Sachen kann man auch mit einem sicheren Job nicht kaufen , sie sind das traurige Beispiel dafür .
frei	Journalist	social	person	collocation	Er ist Herausgeber der Medienzeitschrift " V.i.S.d.P. " und lebt mit seiner Familie als freier Journalist in Berlin .
frei	Journalistin	social	person	collocation	Sie lebt in München , wo sie als freie Journalistin für Tageszeitungen und Illustrierte ( Nido ) sowie als Autorin arbeitet .
stürmisch	Jubel	intensity	communication	collocation	zu leiden hatte , soll bei der Nachricht von seinem Tod am 29. Juli 1644 in stürmischen Jubel ausgebrochen sein .
rund	Jubiläum	completeness	event	collocation	Sie wurden jeweils aus Anlass eines runden Jubiläums der Bundesrepublik ( 1969 , 1979 , 1989 , 1994 ) oder der D-Mark ( 1988 ) herausgegeben .
arm	Jude	social	person	free	Als man die Mauern des Prager Ghettos einriss , wurden von armen Juden Drahtverhaue aufgestellt .
reich	Jude	social	person	free	Da diese den horrenden Tribut nicht zahlen kann , werden die reichen Juden der Insel zur Bezahlung verpflichtet .
wild	Jugend	description	time	collocation	Andoe verbrachte eine wilde Jugend , nach eigener Aussage mit " ... Drogen , Mädchen , Alkohol und Rasereien in fahruntüchtigen Autos durch die Straßen von Tulsa " .
schwarz	Jugendliche	social	person	collocation	Zur Zeit der Veröffentlichung des Albums verbüßte er eine mehrjährige Haftstrafe wegen Planung und Durchführung eines Überfalls auf schwarze Jugendliche auf einem Bahnsteig in Woolwich .
alt	Junge	age	person	free	Hinzu kam die Zusammenarbeit mit anderen Organisationen wie dem Schweizerischen Pfadfinderbund , der vorwiegend ältere Jungen in sechswöchigen Sommerlagern betreute .
arm	Junge	emotion	person	collocation	Als auch noch der Bergzauberer einen gewaltigen Sturm losbrechen lässt und ein Mühlrad dabei ins Wasser stürzt , nimmt die kleinmütige Hetze gegen den armen Jungen kein Ende mehr .
blind	Junge	health	person	free	Dem positiven Aspekt in seinem Leben treten negative gegenüber : Mit seiner Schwester geht er später in einen Lebensmittelladen , wo der blinde Junge versehentlich die Auslage beschädigt .
dumm	Junge	intelligence	person	free	Laut seiner Schwester Dorothy " war er keineswegs ein dummer Junge " , fand aber keinen Spaß am Lese- oder Schreibunterricht oder jedweder anderen Form des Lernens .
frech	Junge	charakter	person	free	Dem Rudelführer gibt Darren den Namen " Blitz " und dessen frechem Jungen den Namen " Rudi " .
schlau	Junge	intelligence	person	free	Mitglieder des Ordens tragen hinter ihrem Nachnamen den Namenszusatz SJ ( Abkürzung für " Societas Jesu " , im deutschen Volksmund gern als " schlaue Jungs " gedeutet ) .
süß	Junge	evaluation	person	collocation	Sie erinnerte sich an den Kampf um die Schönheit und den Kampf für süße Jungen .
tot	Junge	state	person	free	Gefressen wird das tote Junge in der Regel nicht , häufig wird es jedoch von den Altvögeln verfüttert .
dumm	Jungenstreich	intelligence	communication	free	Auch die Schändungen jüdischer Friedhöfe gingen meist als " dumme Jungenstreiche " durch .
reich	Jüngling	social	person	free	Im Winter erscheint der reiche Jüngling Wassili im Dorf und gerät in eine Schneeballschlacht , wobei ihn ein von Tanjuscha geworfener Schneeball trifft .
zart	Jüngling	constitution	person	collocation	Und - zarter Jüngling ! - du verschwendst durch Geiz .
tot	Käfer	state	animal	free	Aufgrund ihrer Schönheit , aber auch wegen ihrer Seltenheit , sind die toten Käfer auch heute noch beliebte Sammlerobjekte trotz massiver Schutzmaßnahmen und Verbote .
mild	Kaffee	taste	plant	collocation	Ihre unaufgeregten Themen und ihre täuschend milde Ironie schien jedoch nicht mehr in die Zeit zu passen und für " An Unsuitable Attachment " ( geschrieben 1963 ) fand sich kein Verleger mehr , da man befürchtete , für diese Art von Romanen keine Leserschaft mehr gewinnen zu können .
schwarz	Kaffee	type	food	collocation	Auch gingen sie gegen Elite wegen seiner monopolartigen Stellung bei Schokolade und schwarzem Kaffee vor .
spät	Kaiser	time	person	collocation	Der römisch-deutsche König und spätere Kaiser hatte das Judenregal oft an die Reichsstädte , bischöfliche Kammern oder Reichsfürsten verpfändet oder delegiert .
hell	Kalkstein	brightness	natObject	free	Die halbkreisbogigen Arkaden des Kreuzganges bestanden im Gegensatz zu den anderen Bauwerken , für die dunkler Sandstein verwendet wurde , aus hellem Kalkstein .
knapp	Kalkulation	quantity	cognition	collocation	Der Finne gehörte zu den letzten großen Segelschiffsreedern und schaffte es , aufgrund extrem knapper Kalkulation seine Schiffe noch rentabel zu betreiben .
bitter	Kälte	intensity	natPhenomenon	collocation	Das sagt jemand , der mit großer Dankbarkeit in diesen trotz der bitteren Kälte draußen wohlgeheizten Saal blickt , der Gäste aus Deutschland und ganz Europa begrüßen darf !
starr	Kamera	movement	artifact	collocation	Die starre Kamera stellt übrigens - anders noch als ab und an im direkten Vorgänger - kein Problem dar und behindert nur äußerst selten das Sichtfeld .
teuer	Kamera	cost	artifact	free	Junge Leute mit iPhones , die 100 $ pro Monat kosten , teuren Kameras und Designerklamotten ... "
tot	Kamerad	state	person	free	Am nächsten Tag wird der tote Kamerad bestattet , während das Munitionsschiff den Hafen verlässt .
offen	Kamin	type	artifact	collocation	Der offene Kamin aus dem 17. Jahrhundert , der im 19. Jahrhundert ersetzt wurde , war wohl größer und breiter .
dunkel	Kammer	brightness	artifact	free	" Durch einen Vorhang aus schwarzen , fest gespannten Gummibändern gelangt man in eine dunkle Kammer .	"
teuer	Kampagne	cost	event	free	Obwohl das Album mit einer teuren Kampagne veröffentlicht wurde , ein aufwendiges Cover besaß und die Kritiker davon angetan waren , brachte es nicht die erhofften Verkaufszahlen .
bitter	Kampf	intensity	event	collocation	Sein Vater starb bereits 1227 , und bittere Kämpfe um den Krakauer Thron zwischen Heinrich I. , Władysław III .
hart	Kampf	intensity	event	collocation	Die GUNT versuchte einen letzten Widerstand 80 Kilometer nördlich der Hauptstadt bei Massaguet an der N'Djamena-Abéché-Straße zu organisieren , wurde aber schließlich am 5. Juni nach hartem Kampf besiegt .
offen	Kampf	social	event	collocation	Der offene Kampf begann mit dem Schulstreit , in dem es vornehmlich um die Verdrängung der Kirche bzw. der Geistlichen aus der Volksschule ging .
zäh	Kampf	description	event	collocation	Da sowohl Griechen als auch Perser von den zähen Kämpfen stark belastet waren , kam es 449 / 448 zu Verhandlungen .
zäh	Kämpfer	constitution	person	collocation	Monsun , ein zäher Kämpfer , gewann drei Gruppe-I-Rennen ( " ARAL-Pokal " , 2 × " Preis von Europa " ) .
dunkel	Kanal	certainty	artifact	collocation	Die Geschäfte erbrachten nicht den von Armbrust erhofften Gewinn , sondern ließen das Geld vielmehr in dunklen Kanälen verschwinden .
sicher	Kandidat	certainty	person	collocation	Am Beginn seiner Motorsportkarriere handelte die Fachpresse Warwick als einen sicheren Kandidaten , der ebenso wie Nigel Mansell den Durchbruch in der höchsten Formel-Rennklasse schaffen würde .
scharf	Kante	shape	shape	collocation	Er verwandte zuerst eine eigentümliche holländisch-gotische Type mit vielen Ecken und scharfen Kanten und ersetzte sie erst später durch eine mit abgerundeten Formen .
scharf	Kante	shape	shape	collocation	Bei der Rasur wird das Haar mit einer sehr scharfen Klinge ( Rasierklinge ) unmittelbar an seiner Austrittsstelle aus der Haut abgeschnitten .
rau	Kanten	surface	shape	free	Als die Insel von einem schweren Sturm heimgesucht wird , besteht die Frau darauf , dass ihre zahlreichen Kinder nicht auf diese raue Insel gehören .
rund	Kanten	shape	shape	free	sphaerosperma  kugelig ) , von oval-elliptischer Form , die Oberfläche leicht konvex , nicht skulpturiert und runden Kanten .
hölzern	Kanzel	material	artifact	free	Die Innenausstattung mit hölzerner Kanzel aus dem Jahr 1622 , ein 107 cm hohes Taufbecken und Chorgestühl wurde anfangs des 17. Jahrhunderts im Stil der Spätrenaissance vorgenommen .
stürmisch	Kap	climate	location	free	Bis 1834 segelte Wendt im Dienst der königlich preußischen " Seehandlungssocietät " viermal um die Welt , also rund um das stürmische Kap Hoorn und das wegen seiner Taifune gefürchtete Chinesische Meer :
frei	Kapazität	completeness	shape	collocation	Darüber hinaus werden freie Kapazitäten und Unterkünfte auch anderen Bildungsträgern für Tagungen , Seminare und Workshops angeboten .
knapp	Kapazität	quantity	shape	free	Der Engpass ( ) ist eine Stockung im Produktionsprozess , die durch knappe Kapazitäten auftritt .
tot	Kapital	function	possession	collocation	Sobald ein Film von den Kunden seltener bestellt wird , entsteht nach erhöhten Neuanschaffungen auch ein erhöhter Lagerüberhang und damit vermehrt totes Kapital .
wild	Kapitalismus	description	cognition	collocation	Dazu kommt Schlamm aus den Karpaten , eine Folge der Abholzung dort , ein wilder Kapitalismus lässt aus den Bergen grüßen .
dunkel	Kapitel	emotion	communication	collocation	Ein dunkles Kapitel in der Stadtgeschichte stellt während des Zweiten Weltkriegs die Deportation von 1221 Juden nach Auschwitz dar .
rund	Kappe	shape	artifact	free	Der Mann hat auf dem Kopf eine runde Kappe oder ein Diadem , die Frau einen Schleier .
hölzern	Karren	material	artifact	free	Zunächst war als Nachfolge dieser Wagen mit Eggengerüsten eine Art hölzerner Karren mit einem Holzrahmen , an dessen Ecken Kegelzapfen angebracht waren .
spät	Karriere	time	event	collocation	Im Verlaufe seiner späten Karriere widmete er sich der Entstehung von Uranlagerstätten und der Bildung von Uranmineralen bei niedrigen Temperaturen .
steil	Karriere	speed	event	collocation	Bereits 1719 wurde er in den Ritterstand erhoben und machte in den 1720er und 1730er Jahren eine steile Karriere am habsburgischen Kaiserhof .
teuer	Karte	cost	artifact	free	Wenn schon , denn schon , sagen wir uns , und investieren sogar in unverschämt teure Karten für das neue iSens Kino inkl.
mächtig	Kartell	power	group	free	Über mehrere Jahrzehnte bildete das Unternehmen mit vier weiteren Konzernen ein mächtiges Kartell mit Zentrum in Chicago , das als die " Big Five " bekannt war ( siehe Schlachthof#Geschichte ) .
süß	Kartoffel	taste	food	free	Immer mehr Farmen wurden errichtet , die sich auf den Anbau von Bananen , Reis , Mais und süßen Kartoffeln spezialisierten .
deftig	Kartoffelsuppe	taste	food	free	Es ist sicherlich nicht das außergewöhnlichste Gericht , aber bei den frostigen Temperaturen ist diese deftige Kartoffelsuppe ein willkommener Gast auf meinem Speiseplan .
mild	Käse	taste	food	collocation	Gerade im Hochland wächst ein besonders aromatischer und milder Kaffee .
knapp	Kasse	quantity	possession	free	Aufgrund knapper Kassen wurde der Umbau der Südstrecke auf Niederflurtechnik nach Bredeney jedoch auf die Zeit nach 2020 verschoben .
prall	Kasse	quantity	artifact	collocation	- stimmt Ihnen restlos zu : pralle Kasse , null Stimmen
hölzern	Kassettendecke	material	artifact	free	Über dem Mittelschiff befindet sich eine flache , hölzerne Kassettendecke , die durch ebenfalls hölzerne Querbalken gegliedert ist .
hölzern	Kasten	material	artifact	free	Ist der Saitenträger eine Röhre ( etwa aus Bambus ) oder ein hölzerner Kasten wie bei europäischen Zithern und Hackbrettern , fungiert er selbst als Resonanzkörper .
schwarz	Kasten	color	artifact	free	Das Display liegt waagerecht auf einem schwarzen Kasten , in dem sich die Hardware befindet .
dick	Katalog	dimension	artifact	free	Zusätzlich enthält er Statistiken und Informationen rund ums Auto , zur Automobilwirtschaft und Messdaten zu den von der Automobil Revue getesteten Fahrzeugen . 2017 erschien der über 600 Seiten dicke Katalog in der 71. Auflage .
frech	Kater	charakter	animal	free	Der Film vermittelt in listig-lustigen Bildern , wie ein Junge mit Hilfe seines frecher Katers Oscar die Welt von Müll , Abfall und giftiger Chemie befreit .
schlau	Kater	intelligence	animal	free	Doch als es ihm an den Kragen geht , erzählt der schlaue Kater dem Hexenmeister die Geschichte von einem Goldschatz , den nur er , Spiegel , heben kann .
mächtig	Kathedrale	dimension	artifact	collocation	Alle 30 Kirchen der Diözese wurden Anfang der 1980er Jahre zerstört , darunter auch die in ganz China bekannte große und mächtige Kathedrale .
schwarz	Katze	color	animal	free	Im Jahr 1936 wurde in der Zeller Altstadt mit einem Brunnen ein Denkmal zu Ehren der Lage und der schwarzen Katze gesetzt .
süß	Katze	evaluation	animal	collocation	Das Foto ist , was die Sicherheit angeht , trotz süßer Katze nicht ideal , denn Kinder sollten in erwachsener Belgeitung wohl eher straßeninnenseitig gehen , nicht am Straßenrand .
tot	Katze	state	animal	free	Zwei weitere H5N1-Infektionen bei toten Katzen aus dem gleichen Gebiet wurden am 7. März 2006 bekannt .
wild	Katze	naturalness	animal	free	2003 kam Harper Collins auf Victoria Holmes zu und bat sie , eine Fantasyserie über wilde Katzen zu schreiben .
teuer	Kauf	cost	artifact	free	Wenn mich zuhause beim erstmaligen Öffnen der Flasche ein ranziger Geruch anspringt , ist meine Freude am teuren Kauf sehr gering und ich werde furchtbar sauer .
reich	Kaufmann	social	person	free	Aber auch ein bösartiger Zwerg besucht den Markt und täuscht durch sein Gewand vor , dass er ein reicher Kaufmann sei .
dunkel	Keller	brightness	location	free	In der Selche bleibt der Speck je nach Gewicht zwischen zwei und drei Monate , um dann in einem kühlen und dunklen Keller auszureifen .
arm	Kerl	emotion	person	collocation	Er beobachtet einen vorübertreibenden Leichnam und gerät ins Grübeln , wie der arme Kerl wohl gestorben sein mag .
dumm	Kerl	intelligence	person	free	So bringt der dumme Kerl zum Ausdruck , wie intakt das Verhältnis zwischen ihr und ihm sei , trotz seiner Abneigung gegen ihren Körper .
frech	Kerl	charakter	person	free	etwa frecher Kerl ) erhielt , gab am 4. Januar 1947 gegen West Bromwich Albion sein Profidebüt in der zweithöchsten englischen Spielklasse und etablierte sich in den folgenden zwölf Monaten in der 1. Mannschaft , nach dem Wechsel von Johnny Jordan nach Italien nahm er dessen Position ein .
hart	Kerl	charakter	person	collocation	Er wurde häufig als der harte Kerl aus den Südstaaten oder dem mittleren Westen besetzt .
rau	Kerl	charakter	person	collocation	Beim Transport von rauen Steinen werden eiserne Ketten zum Transport verwendet , da Seile an den rauen Kanten durchgescheuert werden können .
schlau	Kerl	intelligence	person	free	Sicherheit schon in Idomeni gegeben 4. die schlauen Kerle lassen sich schwer abschieben 5. nach Absitzen der Haft bei uns geduldet 6. und vergehen sich vielleicht mal an ihrer Tochter oder Sohn .
schlau	Kerlchen	intelligence	person	free	Aber das weiß so ein schlaues Kerlchen wie Du ja GANZ SICHERLICH schon seeeehr lange , gelle ?
sicher	Kernkraftwerk	security	artifact	free	Es könne auch künftig keine sicheren Kernkraftwerke geben , da ein Restrisiko wegen seiner Unvorhersagbarkeit prinzipiell auch durch bessere Technik nicht auszuschließen sei .
mächtig	Kiefer	dimension	body	collocation	Die Schnauze ist etwas kürzer als der Kopf , nicht spitz , mit anliegenden Lefzen und mächtigen Kiefern .
grob	Kies	texture	natObject	free	Bis zum 8. Juni 2012 liefen sogenannte Kolkschutzmaßnahmen durch Aufschüttungen von grobem Kies durch das Spezialschiff " Rolling Stone " .
rund	Kiesel	shape	natObject	free	Die Anwesenheit von runden Kieseln in diesem Bereich führt Watt zu der Spekulation , sie seien als Munition - gegen Angreifer gesammelt worden .
alt	Kind	age	person	free	2004 wurde bei einem Unfall im Terminal 2 ein 18 Monate altes Kind in einer Drehtür eingeklemmt und tödlich verletzt , deshalb wurden anschließend alle Drehtüren gegen Bogen-Schiebetüren ausgetauscht .
arm	Kind	social	person	collocation	Gast kannte das Elend , deshalb schenkte er am 10. Mai 1871 der Wittenberger Fortbildungsschule 500 Taler , " um armen Kindern unentgeltlichen Unterricht zu verschaffen " .
blind	Kind	health	person	free	2011 Die Gründung des Vereins leitet sich aus den zum Teil mangelhaften Hilfsmittel- und Förderangeboten für blinde Kinder in Deutschland her .
dick	Kind	appearance	person	collocation	Statt sich in der Kunst selbst zu verwirklichen , wie sie es immer wollte , arbeitet sie für eine Werbeagentur , um dicken Kindern ungesunde Vollfett-Schokolade schmackhaft zu machen .
tot	Kind	state	person	free	Obwohl bei einer Totgeburt empfohlen wird , Zeit mit dem toten Kind zu verbringen , wurde Santorum deshalb im Wahlkampf von zwei Kommentatoren verspottet .
zart	Kinderseele	charakter	cognition	collocation	Und zunehmend auch Eltern , die finden ihr Kind hätte an jedem Ort der Erde ein Recht darauf ungezogen und laut zu sein , weil ja jedes Wort der Ermahnung der zarten Kinderseele Schaden zufügen könnte .
zart	Kindesalter	time	time	collocation	Aus der Ehe gingen drei Söhne und vier Töchter hervor , von den zwei schon im zarten Kindesalter verstarben .
rund	Kinn	shape	body	collocation	Die seitlichen Sepalen laufen am Säulenfuß herab und bilden mit diesem ein kurzes , rundes Kinn .
mächtig	Kirche	dimension	artifact	collocation	Die bisher existierenden angelsächsischen Saalbauten hatten mit den mächtigen Kirchen der normannischen Tradition wenig gemeinsam .
süß	Kirsche	taste	food	free	Beliebt bei Döbeln sind süße Kirschen , Pflaumen , Weintrauben , aber auch Holunderbeeren .
rund	Kissen	shape	artifact	free	Hinter ihm liegt ein rundes Kissen mit einem roten Rand und einer Stickerei oder einer Tapisserie .
hölzern	Kiste	material	artifact	free	Da und dort enthält eine hölzerne Kiste mit verglastem Deckel ein paar verblassende Kunstblumen und anderen Grabschmuck .
bitter	Klage	intensity	communication	collocation	Die Großfürstin war tief verletzt , aber ihre bittere Klage bei Katharina II. blieb erfolglos .
rund	Klammer	shape	communication	free	Da das Kupfer in der Verbindung teilweise durch Zink ersetzt ( substituiert ) sein kann , wird dies mit einer runden Klammer um die beiden Elemente verdeutlicht .
teuer	Klamotten	cost	artifact	free	Endlich gibt es einen Hinweis auf den toten Jungen , dessen Eltern noch im Urlaub auf Korsika weilen und der sich ohne ihre Erlaubnis teure Klamotten und einen Rottweiler gekauft hat .
dunkel	Klang	sound	attribute	collocation	Der nordische Tonfall manifestiert sich besonders in volksliedhafter Thematik , modalen Wendungen und einem tendenziell eher dunklen Klang .
hell	Klang	sound	attribute	collocation	Mit jeder Bewegung leuchtete ihm der Engel entgegen und der helle Klang seiner Stimme berührte ihn sanft .
rau	Klang	sound	natPhenomenon	collocation	Er wurde 1999 in Kim Sang-jins schriller Actionkomödie " Attack the Gas Station ! " in Korea bekannt , er spielte hier einen rauen Kerl mit weichem Herz .
rund	Klang	description	natPhenomenon	collocation	Ihr Vorteil ist die infolge der größeren Saitenlängen niedrigere Inharmonizität ; im Ergebnis entsteht ein sanfter und runder Klang .
sanft	Klang	description	attribute	collocation	Des Weiteren werden ( oben ) offene Labialpfeifen im Register einer Orgel , die einen besonders sanften Klang haben , " Dolzflöte " genannt .
süß	Klang	description	natPhenomenon	collocation	Drückt man jetzt " OK " hört man die süßen Klänge des berühmten irischen Songs " Danny Boy " .
zart	Klang	description	attribute	collocation	 Aeoline  ist auch der Name für Orgelstimmen mit freischwingenden , durchschlagenden Zungen die einen sehr zarten Klang haben .
offen	Klasse	social	group	collocation	2002 nahm sie an den Asienspielen in Busan teil und siegte im Schwergewicht , während in der Offenen Klasse ihre Landsfrau Tong Wen siegte .
deftig	Klatsche	intensity	artifact	collocation	Ein kleiner Trost für diese deftige Klatsche dürfte lediglich darin bestanden haben , dass Morelia sich in den anschließenden Play-offs den Meistertitel sichern konnte .
dunkel	Kleid	brightness	artifact	free	Die Frau trägt ein blaues , dunkles Kleid und einen tiefroten Umhang , der von ihren Schultern hinfort wallt .
hell	Kleid	brightness	artifact	free	Sie geht in einem langen , hellen Kleid mit einem Strohhut durch ein Kornfeld und trägt einen großen Strauß gelber Blumen im Arm .
knapp	Kleid	dimension	artifact	collocation	Die luftigen , knappen Kleider - als erstes sieht sie Maurice mit nacktem Oberkörper und Turban auf dem Kopf in der Maskerade eines Scheichs , Outfit für eine einzustudierende Tanzeinlage - und die lasziven Bewegungen empfindet sie als eine Attacke auf ihre engen Moralvorstellungen .
schwarz	Kleid	color	artifact	free	Das Protokoll für päpstliche Audienzen sah traditionell vor , dass Frauen ein schwarzes Kleid mit langen Ärmeln und langem Rock und einen schwarzen Schleier zu tragen hatten .
teuer	Kleid	cost	artifact	free	In einer Wohnung unterhalten sich Viorel und Gina , die von einem anderen Mann ein sehr teures Kleid geschenkt bekommen hat , über die Schullektüre von Ginas Tochter .
dunkel	Kleidung	brightness	artifact	free	Und kurz darauf trifft er tatsächlich auf Dolphin , diesmal nicht in dunkler Kleidung , sondern ganz hell angezogen , am Wegrand stehend .
schwarz	Kleidung	color	artifact	free	Als " universelle Gemeinsamkeit " und " kleinsten gemeinsame Nenner " bezeichnet er " die schwarze Kleidung " .
teuer	Kleidung	cost	artifact	free	Materieller Hedonismus und das offensive Zurschautragen von Statussymbolen wie Schmuck , Goldketten , teure Kleidung oder Frauen gehörten zum neuen Stil .
zäh	Kleinarbeit	description	event	collocation	Nur über die Einführung resistenter Stöcke aus Amerika und deren Veredlung mit überlebenden Trieben (  bouillie bordelaise  ) konnte die wirtschaftliche Grundlage in zäher Kleinarbeit wiederhergestellt werden .
arm	Kleine	emotion	person	collocation	Ihre Reaktion findet er altmodisch " " von ,vor dem Krieg' , arme Kleine ! " "
süß	Kleine	evaluation	person	collocation	Auf eine Genehmigung durch den Gesetzgeber freuen dürfen sich auch die Anhänger eines uralten religiösen Hindu-Ritual : Dabei werfen Priester Babys von Dächern , um die süßen Kleinen stark zu machen .
zäh	Kleinkrieg	description	event	collocation	So wurden zunächst in einem zähen Kleinkrieg Gruppen von Gesetzlosen , Royalisten und Indianern bekämpft , welche die Wirren der vorangegangenen Kämpfe für Plünderungen und Überfälle genutzt hatten .
mild	Klima	temperature	natPhenomenon	collocation	Dies war die einzige Möglichkeit , bei dem heißen und trockenen Klima einen weichen und milden Käse zu erzeugen .
