attribute_original	adjective	noun	GerCoAT	status
TEMPERATURE	hot	stove	temperature	free
TEMPERATURE	hot	water	temperature	free
TEMPERATURE	lukewarm	coffee	temperature	free
TEMPERATURE	sweltering	room	temperature	free
TEMPERATURE	warm	body	temperature	free
TEMPERATURE	warm	climate	temperature	free
TEMPERATURE	warm	coat	temperature	free
TEMPERATURE	warm	room	temperature	free
STRENGTH	delicate	flavor	taste	collocation
PLEASANTNESS	harsh	cognac	taste	collocation
BREAKABLENESS	breakable	article	texture	free
BREAKABLENESS	breakable	pottery	texture	free
TEXTURE	coarse	meal	texture	free
TEXTURE	coarse	sand	texture	free
TEXTURE	coarse	weave	texture	free
TEXTURE	coarse-grained	wood	texture	free
STRENGTH	delicate	china	texture	free
DESTRUCTIBILITY	destructible	glassware	texture	free
TEXTURE	fine	film	texture	free
TEXTURE	fine	grain	texture	free
TEXTURE	fine	weave	texture	free
TEXTURE	fine	rain	texture	free
TEXTURE	fine-grained	rock	texture	free
STRENGTH	rugged	furniture	texture	free
SOLIDITY	solid	block	texture	free
STRENGTH	dainty	teacup	texture	collocation
TEXTURE	powdery	snow	texture	collocation
CURRENTNESS	current	event	time	free
CURRENTNESS	current	negotiation	time	free
CURRENTNESS	current	position	time	free
CURRENTNESS	current	topic	time	free
TIMING	early	death	time	free
TIMING	early	diagnosis	time	free
TIMING	early	morning	time	free
TIMING	early	retirement	time	free
TIMING	early	spring	time	free
TIMING	early	variety	time	free
TIMING	early	warning	time	free
FRESHNESS	fresh	bread	time	free
FRESHNESS	fresh	lettuce	time	free
TIMING	future	historian	time	free
SPEED	immediate	reply	time	free
TIMING	late	breakfast	time	free
TIMING	late	evening	time	free
TIMING	late	flight	time	free
TIMING	late	movie	time	free
TIMING	middle	thirty	time	free
TIMING	middle	year	time	free
MODERNITY	modern	furniture	time	free
MODERNITY	modern	history	time	free
AGE	new	law	time	free
AGE	new	year	time	free
ORIGINALITY	novel	proof	time	free
TIMING	past	year	time	free
TIMING	past	youth	time	free
TIMING	posthumous	award	time	free
TIMING	posthumous	book	time	free
SPEED	prompt	reply	time	free
SPEED	quick	reaction	time	free
AGE	recent	addition	time	free
STALENESS	stale	beer	time	free
STALENESS	stale	bread	time	free
DISTANCE	near	future	time	collocation
AGE	newborn	fear	time	collocation
LEGALITY	dirty	money	validity	collocation
ADMISSIBILITY	admissible	evidence	validity	free
LEGALITY	illegitimate	seizure	validity	free
ADMISSIBILITY	inadmissible	evidence	validity	free
LAWFULNESS	lawful	method	validity	free
MANDATE	licensed	pharmacist	validity	free
LAWFULNESS	unlawful	hunter	validity	free
LAWFULNESS	unlawful	measure	validity	free
LAWFULNESS	unlawful	money	validity	free
LEGALITY	unlawful	measure	validity	free
WEIGHT	heavy	metal	weight	free
WEIGHT	heavy	load	weight	free
WEIGHT	light	load	weight	free
LEGALITY	hot	merchandise	validity	collocation
LEGALITY	ill-gotten	gain	validity	collocation
